GeneID	Chr	Start	End	Strand
RNA5SP40	1	9437669	9437778	-
RNA5SP41	1	13623184	13623284	-
RNA5SP42	1	34112949	34113063	+
RNA5SP43	1	37264677	37264786	-
RNA5SP44	1	39154164	39154296	-
RNA5SP45	1	41466937	41467028	-
RNA5SP46	1	43196417	43196536	+
RNA5SP47	1	44932323	44932431	+
RNA5SP48	1	51973410	51973535	+
RNA5SP49	1	63186336	63186450	-
RNA5SP50	1	73749517	73749623	-
RNA5SP20	1	77614869	77614952	+
RNA5SP21	1	77779904	77779999	+
RNA5SP22	1	78094807	78094915	-
RNA5SP23	1	78375164	78375268	-
RNA5SP51	1	85883680	85883798	-
RNA5SP52	1	87453240	87453373	-
RNA5SP53	1	93488333	93488452	-
RNA5SP54	1	111041834	111041925	+
RNA5SP55	1	116962347	116962471	-
RNA5SP56	1	118264372	118264489	-
RNA5SP533	1	143439605	143439714	+
RNA5SP529	1	144265217	144265326	+
RNA5SP59	1	144701050	144701159	-
RNA5SP536	1	146539541	146539663	-
RNA5SP57	1	148193716	148193838	+
RNA5SP60	1	159178473	159178559	+
RNA5SP61	1	162338643	162338742	+
RNA5SP62	1	163468496	163468605	-
RNA5SP63	1	163509484	163509595	+
RNA5SP64	1	166042244	166042350	+
RNA5SP65	1	167005959	167006077	+
RNA5SP66	1	169067264	169067364	+
RNA5SP67	1	173921070	173921200	+
RNA5SP68	1	173969318	173969436	-
RNA5SP69	1	178560913	178561029	+
RNA5SP70	1	181771566	181771644	+
5S_rRNA	1	182944365	182944490	-
RNA5SP72	1	185014951	185015067	-
RNA5SP73	1	189666149	189666256	-
RNA5SP74	1	204562413	204562521	-
RNA5SP75	1	204707320	204707430	-
RNA5SP534	1	207708898	207708981	-
RNA5SP76	1	219761789	219761875	+
RNA5SP77	1	227561181	227561300	+
RNA5SP19	1	228555793	228555901	+
RNA5SP162	1	228558296	228558339	-
RNA5S1	1	228610268	228610386	-
RNA5S2	1	228612509	228612627	-
RNA5S3	1	228614750	228614868	-
RNA5S4	1	228616991	228617109	-
RNA5S5	1	228619232	228619350	-
RNA5S6	1	228621447	228621565	-
RNA5S7	1	228623667	228623785	-
RNA5S8	1	228625909	228626027	-
RNA5S9	1	228628148	228628266	-
RNA5S10	1	228630390	228630508	-
RNA5S11	1	228632631	228632749	-
RNA5S12	1	228634871	228634989	-
RNA5S13	1	228637096	228637214	-
RNA5S14	1	228639337	228639455	-
RNA5S15	1	228641568	228641686	-
RNA5S16	1	228643809	228643927	-
RNA5S17	1	228646040	228646158	-
RNA5SP18	1	228647912	228648032	-
RNA5SP78	1	229549905	229550022	+
RNA5SP79	1	230820250	230820358	+
RNA5SP80	1	231281414	231281524	-
RNA5SP82	1	247204570	247204661	-
RNA5SP84	2	11517397	11517503	+
5S_rRNA	2	11561661	11561779	-
RNA5SP86	2	20401627	20401724	-
RNA5SP87	2	22338886	22339003	-
RNA5SP88	2	24564630	24564738	-
RNA5SP89	2	28683976	28684083	+
RNA5SP90	2	31228312	31228410	+
RNA5SP91	2	33285769	33285887	-
RNA5SP92	2	33332898	33333007	+
RNA5SP93	2	56235217	56235330	-
RNA5SP94	2	59694762	59694869	+
RNA5SP95	2	60998752	60998888	+
RNA5SP96	2	69181897	69182003	-
RNA5SP97	2	73968123	73968206	-
RNA5SP98	2	76772909	76773045	+
RNA5SP99	2	81496214	81496327	-
5S_rRNA	2	89600571	89600680	+
RNA5SP100	2	91674857	91674966	+
RNA5SP101	2	96956708	96956815	-
RNA5SP102	2	124932915	124933020	+
RNA5SP103	2	128445081	128445198	-
RNA5-8SP5	2	132253154	132253305	-
RNA5SP104	2	134231195	134231312	+
RNA5SP105	2	137512098	137512210	-
RNA5SP106	2	147713455	147713554	-
RNA5SP107	2	154590407	154590528	+
RNA5SP108	2	161409554	161409670	+
RNA5SP109	2	162496936	162497051	+
RNA5SP110	2	164858432	164858546	+
RNA5SP111	2	164895677	164895777	-
RNA5SP112	2	177138699	177138797	+
RNA5SP113	2	182048822	182048905	+
RNA5SP114	2	188276732	188276844	-
RNA5SP115	2	200849038	200849144	-
RNA5SP116	2	208054161	208054258	-
RNA5SP117	2	208920547	208920664	-
RNA5SP118	2	209721913	209722021	-
RNA5SP119	2	211535653	211535769	+
RNA5SP120	2	216793489	216793600	-
RNA5SP121	2	227763052	227763152	-
RNA5SP122	2	241584968	241585075	+
RNA5SP123	3	12511095	12511213	-
RNA5SP124	3	14394648	14394757	+
RNA5SP125	3	25025007	25025126	+
RNA5SP126	3	25352284	25352392	-
RNA5SP127	3	31228715	31228847	+
RNA5SP128	3	33491983	33492098	-
RNA5SP129	3	37341649	37341766	+
RNA5SP130	3	49467115	49467228	-
RNA5SP131	3	50419781	50419899	+
RNA5SP132	3	51694465	51694582	-
RNA5SP133	3	56185104	56185222	+
RNA5SP134	3	63545440	63545535	+
RNA5SP135	3	68882967	68883091	+
RNA5SP136	3	72691705	72691811	-
RNA5SP137	3	125058304	125058438	-
RNA5SP138	3	126564565	126564678	-
RNA5SP139	3	127963608	127963724	+
RNA5SP140	3	133710076	133710167	-
RNA5SP141	3	134783436	134783555	-
RNA5SP142	3	137518134	137518255	-
RNA5SP143	3	142591677	142591791	-
RNA5SP144	3	144186905	144187020	-
RNA5SP145	3	151188099	151188223	+
RNA5SP146	3	157173918	157174040	-
RNA5SP147	3	176763233	176763341	+
RNA5SP148	3	178429197	178429290	-
RNA5SP149	3	180161886	180161977	-
RNA5SP150	3	181822872	181822990	-
RNA5SP151	3	183258300	183258416	-
RNA5SP152	4	8393015	8393124	+
RNA5SP153	4	9411178	9411253	-
RNA5SP154	4	9792751	9792861	-
RNA5SP155	4	10115756	10115884	-
RNA5SP156	4	11414051	11414160	-
RNA5SP157	4	19181814	19181856	-
RNA5SP158	4	38758791	38758892	-
RNA5SP159	4	39936753	39936855	+
RNA5SP160	4	40990154	40990273	+
RNA5SP161	4	56097390	56097504	+
RNA5SP527	4	67439992	67440118	+
RNA5SP163	4	71759518	71759616	-
RNA5SP164	4	93820171	93820280	+
RNA5SP165	4	147745303	147745417	-
RNA5SP166	4	148557947	148558048	+
RNA5SP167	4	149907560	149907675	+
RNA5SP168	4	150970671	150970782	-
RNA5SP169	4	151971497	151971613	-
RNA5SP170	4	166053187	166053287	-
RNA5SP171	4	166918364	166918478	-
RNA5SP172	4	177457111	177457228	-
RNA5SP173	4	178406695	178406830	+
RNA5SP174	4	190015138	190015255	+
RNA5SP175	4	190017696	190017814	+
RNA5SP176	5	7047227	7047336	+
RNA5SP177	5	9760907	9761013	+
RNA5SP178	5	16033229	16033356	-
RNA5SP179	5	16853994	16854114	+
RNA5SP180	5	17156971	17157071	-
RNA5SP181	5	36485343	36485440	+
RNA5SP182	5	51886688	51886769	+
RNA5SP183	5	55777469	55777587	+
RNA5SP184	5	56146739	56146846	-
RNA5SP185	5	56260333	56260446	-
RNA5SP186	5	76091708	76091801	-
RNA5SP187	5	88274258	88274376	-
RNA5SP188	5	102131007	102131135	-
RNA5SP189	5	105922994	105923108	-
RNA5SP190	5	119445716	119445833	+
RNA5SP191	5	130114409	130114510	+
RNA5SP192	5	132848577	132848696	+
RNA5SP193	5	136969200	136969306	-
RNA5SP194	5	139012329	139012441	+
RNA5SP195	5	139299852	139299968	+
RNA5SP196	5	146586099	146586200	-
RNA5SP197	5	151477459	151477577	-
RNA5SP198	5	151875566	151875692	-
RNA5SP199	5	155845437	155845528	+
RNA5SP200	5	173292517	173292619	-
RNA5SP201	6	3088686	3088809	-
RNA5SP202	6	4427963	4428081	+
RNA5SP203	6	10752791	10752926	-
5S_rRNA	6	15522195	15522300	-
RNA5SP204	6	17721786	17721903	-
RNA5SP205	6	19438283	19438418	+
RNA5SP206	6	32078508	32078628	-
RNA5SP207	6	41239520	41239626	-
RNA5SP208	6	67467231	67467308	-
RNA5SP209	6	75865239	75865335	-
RNA5SP210	6	81622200	81622319	+
RNA5SP211	6	106449381	106449497	+
RNA5SP212	6	108252401	108252507	+
RNA5SP213	6	114220681	114220786	-
RNA5SP214	6	117060682	117060799	+
RNA5SP215	6	120686621	120686742	+
RNA5SP216	6	125979812	125979934	-
RNA5SP217	6	127317883	127317973	-
RNA5SP218	6	134257035	134257143	+
RNA5SP219	6	136630243	136630355	+
RNA5SP220	6	140158591	140158694	-
RNA5SP221	6	143449809	143449911	+
RNA5SP222	6	146340420	146340524	+
RNA5SP223	6	152410275	152410394	+
RNA5SP224	6	153159220	153159345	-
RNA5SP225	6	153420438	153420572	+
RNA5SP226	6	165409562	165409676	+
RNA5SP227	7	22298594	22298706	+
RNA5SP228	7	24132705	24132837	+
RNA5SP229	7	33177740	33177838	+
RNA5SP230	7	44125752	44125873	-
RNA5SP231	7	68723911	68724048	-
RNA5SP232	7	71913738	71913856	-
RNA5SP233	7	74487428	74487540	-
RNA5SP234	7	79654109	79654227	+
RNA5SP235	7	83017898	83018011	+
RNA5SP236	7	106781600	106781715	-
RNA5SP237	7	111953653	111953765	-
RNA5SP238	7	114613787	114613906	-
RNA5SP239	7	116944286	116944414	-
RNA5SP240	7	120981426	120981553	-
RNA5SP241	7	121083700	121083813	-
RNA5SP242	7	128697439	128697556	+
RNA5SP243	7	128697710	128697744	+
RNA5SP244	7	129756266	129756377	+
RNA5SP245	7	130027277	130027397	+
RNA5SP246	7	130602795	130602913	-
RNA5SP247	7	140370441	140370545	+
RNA5SP248	7	140386781	140386907	-
RNA5SP249	7	147849884	147849982	+
5S_rRNA	7	152592973	152593091	-
RNA5SP251	8	3700492	3700628	+
RNA5SP252	8	10686569	10686687	+
RNA5SP253	8	12087396	12087445	-
RNA5SP254	8	12333644	12333693	-
RNA5SP255	8	13536029	13536135	+
RNA5SP256	8	17748118	17748230	+
RNA5SP257	8	20290174	20290289	+
RNA5SP258	8	26136880	26136998	+
RNA5SP259	8	28530411	28530519	+
RNA5SP260	8	29048494	29048604	-
RNA5SP261	8	31598099	31598204	-
RNA5SP262	8	32192028	32192153	-
RNA5SP263	8	32256496	32256623	+
RNA5SP264	8	36764445	36764551	+
RNA5SP531	8	48316669	48316770	+
RNA5SP265	8	55745232	55745342	+
RNA5SP266	8	57126655	57126762	-
RNA5SP267	8	59455885	59456010	+
RNA5SP268	8	67099302	67099425	+
RNA5SP269	8	68695643	68695779	+
RNA5SP270	8	69929905	69930022	+
RNA5SP271	8	72357728	72357815	+
RNA5SP272	8	88396437	88396547	-
RNA5SP273	8	90511128	90511240	+
RNA5SP274	8	93441277	93441384	+
RNA5SP275	8	107884494	107884611	+
RNA5SP276	8	116022686	116022779	-
RNA5SP277	8	119891132	119891229	-
RNA5SP278	8	140940562	140940663	+
RNA5SP279	9	1333837	1333953	+
RNA5SP280	9	27198287	27198401	+
RNA5SP281	9	32293558	32293692	+
RNA5SP282	9	34206134	34206241	-
RNA5SP530	9	41237440	41237557	-
RNA5SP283	9	62802320	62802438	-
RNA5SP284	9	63813190	63813307	+
RNA5SP285	9	72299720	72299838	-
RNA5SP286	9	73750972	73751077	-
RNA5SP287	9	81885496	81885598	+
RNA5SP288	9	95142449	95142541	-
RNA5SP289	9	95905005	95905141	+
RNA5SP290	9	99145840	99145966	-
RNA5SP291	9	103689473	103689577	-
RNA5SP292	9	106843749	106843866	-
RNA5SP293	9	107918866	107918978	-
RNA5SP294	9	111411644	111411742	-
RNA5SP295	9	112252258	112252378	+
RNA5SP296	9	127841112	127841222	-
RNA5SP297	10	154831	154943	-
RNA5SP298	10	282015	282125	-
RNA5SP299	10	8656716	8656831	-
RNA5SP300	10	12924679	12924785	-
RNA5SP301	10	13727796	13727916	+
RNA5SP302	10	14663395	14663494	-
RNA5SP303	10	19633683	19633812	-
RNA5SP304	10	22997255	22997358	+
RNA5SP305	10	24640166	24640284	+
RNA5SP306	10	25813811	25813917	-
RNA5SP307	10	26509589	26509704	+
RNA5SP308	10	28874393	28874507	-
RNA5SP309	10	31259599	31259704	+
RNA5SP310	10	45856307	45856422	+
RNA5SP311	10	46807458	46807573	-
RNA5SP312	10	47532352	47532467	+
RNA5SP315	10	48040462	48040577	+
RNA5SP317	10	49979665	49979780	-
RNA5SP318	10	53458197	53458288	+
RNA5SP319	10	68461407	68461525	+
RNA5SP320	10	73706490	73706613	+
RNA5SP321	10	77587049	77587159	+
RNA5SP322	10	86052448	86052566	+
RNA5SP323	10	93510548	93510680	-
RNA5SP324	10	96619376	96619483	+
RNA5SP325	10	106970021	106970150	+
RNA5SP326	10	107461560	107461669	+
RNA5SP327	10	110761142	110761242	+
RNA5SP328	10	126145474	126145582	-
RNA5SP329	11	6016996	6017114	+
RNA5SP330	11	8845263	8845358	+
RNA5SP331	11	13907484	13907590	-
RNA5SP332	11	14134986	14135100	+
RNA5SP333	11	18248389	18248506	-
RNA5SP334	11	18266393	18266510	+
RNA5SP335	11	19401872	19401981	-
RNA5SP336	11	21000881	21000997	-
RNA5SP337	11	21383801	21383909	-
RNA5SP338	11	22688351	22688435	+
RNA5SP339	11	27521605	27521726	-
RNA5SP340	11	47804296	47804402	-
RNA5SP341	11	57450183	57450299	+
RNA5SP342	11	71845196	71845245	-
RNA5SP343	11	74198748	74198854	-
RNA5SP344	11	75934936	75935039	+
RNA5SP345	11	95840017	95840124	-
RNA5SP346	11	96474572	96474692	-
RNA5SP347	11	97657464	97657582	+
RNA5SP535	11	102057854	102057960	+
RNA5SP349	11	109120878	109120986	-
RNA5SP350	11	111040098	111040208	-
RNA5SP351	11	111928400	111928508	+
RNA5SP352	11	124636459	124636592	+
RNA5SP353	12	13440884	13441001	-
RNA5SP354	12	26373598	26373733	-
RNA5SP355	12	28505394	28505528	+
RNA5SP356	12	30306431	30306524	-
RNA5SP357	12	34205699	34205817	+
RNA5SP358	12	38161466	38161582	-
RNA5SP359	12	38163403	38163515	-
RNA5SP360	12	41658676	41658793	+
RNA5SP361	12	45117771	45117888	+
RNA5SP362	12	66066221	66066338	+
RNA5SP363	12	79878305	79878419	-
RNA5SP364	12	88051701	88051778	+
RNA5SP365	12	89726936	89727042	+
RNA5SP366	12	99083783	99083905	-
RNA5SP367	12	101472339	101472456	+
RNA5SP368	12	101779814	101779929	+
RNA5SP369	12	101836820	101836927	+
RNA5SP370	12	104125236	104125356	+
RNA5SP371	12	107486511	107486635	-
RNA5SP372	12	109059986	109060100	+
RNA5SP373	12	111339527	111339621	+
RNA5SP374	12	118829681	118829805	+
RNA5SP375	12	123282916	123283034	-
RNA5SP376	12	131299640	131299751	-
RNA5SP377	12	131661063	131661174	+
RNA5SP378	12	131801315	131801434	-
RNA5SP379	12	132723945	132724057	-
RNA5SP24	13	19088487	19088581	+
RNA5SP25	13	21369790	21369899	-
RNA5SP26	13	37854852	37854970	-
RNA5SP27	13	45551485	45551603	-
RNA5SP28	13	50812988	50813106	-
RNA5SP29	13	51027747	51027852	-
RNA5SP30	13	57991350	57991464	+
RNA5SP31	13	60613608	60613734	+
RNA5SP33	13	79389534	79389631	-
RNA5SP34	13	90135712	90135841	-
RNA5SP35	13	94025470	94025598	-
RNA5SP36	13	94651397	94651529	-
RNA5SP37	13	97362972	97363101	-
RNA5SP38	13	106155372	106155490	-
RNA5SP39	13	108301212	108301331	-
5_8S_rRNA	14	16057472	16057622	+
RNA5SP380	14	20090130	20090227	+
RNA5SP382	14	20414987	20415098	+
RNA5SP383	14	24158603	24158722	+
