GeneID	Chr	Start	End	Strand
MIR6859-1	1	17369	17436	-
MIR1302-2	1	30366	30503	+
MIR6859-2	1	187891	187958	-
ENSG00000278791	1	632325	632413	-
MIR200B	1	1167104	1167198	+
MIR200A	1	1167863	1167952	+
MIR429	1	1169005	1169087	+
MIR6726	1	1296110	1296170	-
MIR6727	1	1312502	1312566	-
MIR6808	1	1339650	1339708	-
MIR4251	1	3127975	3128035	+
MIR551A	1	3560695	3560790	-
ENSG00000264341	1	5564071	5564143	+
MIR4689	1	5862672	5862741	-
MIR4252	1	6429834	6429896	-
MIR6728	1	8866502	8866590	-
MIR34A	1	9151668	9151777	-
MIR5697	1	9967381	9967458	+
ENSG00000264881	1	10227718	10227803	+
MIR6729	1	12029158	12029222	+
MIR7846	1	12166943	12167038	+
MIR4632	1	12191713	12191773	+
MIR6730	1	12578957	12579023	-
MIR3675	1	16858949	16859021	-
MIR3972	1	17277889	17277975	+
MIR4695	1	18883202	18883275	-
MIR1290	1	18897071	18897148	-
MIR6084	1	20633679	20633788	+
MIR1256	1	20988314	20988432	-
MIR4418	1	22266239	22266300	+
MIR6127	1	22633258	22633366	-
MIR4684	1	22719517	22719598	+
MIR4253	1	22863159	22863226	-
MIR3115	1	23044305	23044372	+
ENSG00000266802	1	23057858	23057934	-
MIR378F	1	23929070	23929147	+
MIR6731	1	24919345	24919416	-
MIR4425	1	25023503	25023586	+
MIR3917	1	25906362	25906454	-
MIR1976	1	26554542	26554593	+
MIR4420	1	30739156	30739232	-
MIR4254	1	31758660	31758735	-
MIR5585	1	32086949	32087007	+
MIR3605	1	33332393	33332492	-
MIR552	1	34669599	34669694	-
MIR4255	1	37161563	37161634	+
MIR6732	1	37480230	37480289	+
MIR5581	1	37500935	37500994	-
MIR3659	1	38089231	38089329	+
MIR30E	1	40754355	40754446	+
MIR30C1	1	40757284	40757372	+
MIR6733	1	43171652	43171712	-
MIR6734	1	43364648	43364715	-
MIR6735	1	43448539	43448611	+
MIR6079	1	43838622	43838683	+
MIR5584	1	44545493	44545552	+
MIR4421	1	51059837	51059905	+
MIR6500	1	51060018	51060103	+
MIR761	1	51836344	51836402	-
ENSG00000264834	1	52928674	52928772	+
ENSG00000266188	1	52934930	52935017	+
ENSG00000265815	1	52940314	52940413	+
MIR4781	1	54054079	54054154	+
MIR4422	1	55225641	55225723	+
MIR4711	1	59733227	59733296	-
MIR3116-1	1	62078786	62078859	+
MIR3116-2	1	62078789	62078856	-
MIR6068	1	63326925	63326984	-
MIR4794	1	64579847	64579923	+
MIR3671	1	65057755	65057842	-
MIR101-1	1	65058434	65058508	-
MIR3117	1	66628440	66628517	+
MIR1262	1	68183518	68183610	-
MIR186	1	71067631	71067716	-
MIR7156	1	77060143	77060202	+
MIR4423	1	85133794	85133873	+
MIR7856	1	86357632	86357687	-
MIR760	1	93846832	93846911	+
MIR378G	1	94745860	94745900	-
MIR2682	1	98045242	98045351	-
MIR137	1	98046070	98046171	-
MIR553	1	100281241	100281308	+
MIR7852	1	107897223	107897304	+
MIR197	1	109598893	109598967	+
MIR4256	1	112461770	112461833	-
MIR548AC	1	116560024	116560111	-
MIR320B1	1	116671749	116671827	+
MIR942	1	117094643	117094728	+
MIR6736	1	145850587	145850645	-
MIR5087	1	148334479	148334554	-
MIR6077	1	148388282	148388363	+
MIR6878	1	150492345	150492410	+
MIR4257	1	150551929	150552014	+
MIR554	1	151545796	151545891	+
MIR8083	1	153689705	153689793	-
MIR6737	1	153962351	153962420	-
MIR5698	1	154104521	154104592	-
MIR190B	1	154193665	154193743	-
MIR4258	1	154975693	154975783	+
MIR92B	1	155195177	155195272	+
MIR555	1	155346350	155346445	-
MIR6738	1	155951273	155951336	-
MIR9-1	1	156420341	156420429	-
MIR765	1	156936131	156936244	-
MIR4259	1	159899979	159900079	-
MIR5187	1	161227186	161227261	+
MIR4654	1	162157107	162157182	+
MIR556	1	162342546	162342640	+
MIR3658	1	165907921	165907976	+
MIR921	1	166154743	166154798	-
MIR1255B2	1	167998660	167998726	+
MIR557	1	168375524	168375621	+
MIR3119-1	1	170151378	170151462	-
MIR3119-2	1	170151378	170151462	+
MIR1295A	1	171101728	171101806	-
MIR1295B	1	171101739	171101798	+
MIR214	1	172138798	172138907	-
MIR3120	1	172138808	172138888	+
MIR199A2	1	172144535	172144644	-
MIR488	1	177029363	177029445	-
MIR4424	1	178677749	178677834	+
MIR3121	1	180438314	180438390	-
MIR4426	1	192716328	192716390	+
MIR1278	1	193136503	193136583	+
MIR4735	1	196582413	196582481	-
MIR181B1	1	198858873	198858982	-
MIR181A1	1	198859044	198859153	-
MIR5191	1	201719508	201719627	+
MIR1231	1	201808611	201808702	+
MIR6739	1	201863373	201863447	+
MIR6740	1	202003124	202003236	+
